Token	Repeticiones	#Documentos	IDF
abbey	1	1	2.704151
abbie	1	1	2.704151
abbitt	2	2	2.403121
abbol	16	13	1.590207
abboladodnak	1	1	2.704151
abbott	5	5	2.005181
abby	1	1	2.704151
abc	24	10	1.704151
abcs	2	2	2.403121
abd	1	1	2.704151
abdication	2	2	2.403121
abdn	5	4	2.102091
abdnor	12	12	1.624969
abdomen	1	1	2.704151
abdominal	1	1	2.704151
abducted	1	1	2.704151
abduction	1	1	2.704151
abdul	3	3	2.227029
abecslesek	1	1	2.704151
abefizeteseket	1	1	2.704151
abefolyasolasi	1	1	2.704151
abehelyettesit	1	1	2.704151
abeking	1	1	2.704151
abelcomputers	1	1	2.704151
abelink	4	4	2.102091
abelugyminiszter	1	1	2.704151
abennunket	1	1	2.704151
abenzinarakat	1	1	2.704151
abeolvaszto	1	1	2.704151
aber	13	6	1.925999
abercrombie	1	1	2.704151
aberdeen	12	5	2.005181
abernethy	2	2	2.403121
aberranciajat	1	1	2.704151
abest	3	3	2.227029
abeszeloben	1	1	2.704151
abetegeket	1	1	2.704151
abetting	8	2	2.403121
abginc	1	1	2.704151
abiboros	1	1	2.704151
abide	3	3	2.227029
abiertos	4	2	2.403121
abigail	1	1	2.704151
abilene	6	4	2.102091
abilities	20	12	1.624969
ability	94	52	0.988147
abizottsagi	1	1	2.704151
abiztatas	1	1	2.704151
abiztosan	1	1	2.704151
abiztositotol	1	1	2.704151
ablakok	1	1	2.704151
ablakon	1	1	2.704151
able	81	55	0.963788
ablecom	3	3	2.227029
abm	2	2	2.403121
abmv	1	1	2.704151
abn	1	1	2.704151
abnormal	2	2	2.403121
abnormally	1	1	2.704151
abo	5	5	2.005181
aboard	13	12	1.624969
aboimov	1	1	2.704151
abol	1	1	2.704151
abolish	4	3	2.227029
abolishing	4	4	2.102091
abolishment	3	2	2.403121
abolition	31	5	2.005181
abolitionism	4	2	2.403121
abolitionist	3	2	2.403121
abolitionists	2	1	2.704151
abolsevizmust	1	1	2.704151
abonyi	1	1	2.704151
aboricultural	1	1	2.704151
aboriginal	2	1	2.704151
abort	1	1	2.704151
aborted	2	2	2.403121
abortion	63	13	1.590207
abortions	14	5	2.005181
abortusz	2	1	2.704151
abortuszra	1	1	2.704151
abortuszt	1	1	2.704151
aboszniai	2	2	2.403121
abou	2	2	2.403121
abourezk	7	7	1.859052
about	514	182	0.444079
above	59	40	1.102091
abovitessel	1	1	2.704151
abq	17	6	1.925999
abraham	8	4	2.102091
abrand	2	1	2.704151
abrasive	1	1	2.704151
abrazolni	1	1	2.704151
abre	1	1	2.704151
abreast	3	3	2.227029
abrechnung	1	1	2.704151
abrenthez	1	1	2.704151
abriendo	1	1	2.704151
abril	8	4	2.102091
abrir	1	1	2.704151
abrit	1	1	2.704151
abroad	37	23	1.342423
abrock	1	1	2.704151
abrupt	3	2	2.403121
abrutto	2	2	2.403121
abs	8	5	2.005181
absa	1	1	2.704151
absalom	2	2	2.403121
absence	22	21	1.381931
absences	1	1	2.704151
absent	4	3	2.227029
absentee	1	1	2.704151
absenteeism	2	2	2.403121
absentia	2	2	2.403121
absolute	14	11	1.662758
absolutely	4	4	2.102091
absolutes	2	2	2.403121
absorb	2	2	2.403121
absorbed	2	2	2.403121
absorber	1	1	2.704151
absorbers	1	1	2.704151
absorption	1	1	2.704151
abstinence	1	1	2.704151
abstract	20	14	1.558022
abstraction	1	1	2.704151
abstractions	2	2	2.403121
abstracts	3	3	2.227029
absurd	2	2	2.403121
absurdism	2	1	2.704151
absurdist	1	1	2.704151
absurdities	1	1	2.704151
absurdity	5	3	2.227029
abszol	1	1	2.704151
abszolut	7	7	1.859052
abszolute	1	1	2.704151
abszolutizmus	1	1	2.704151
abszurd	3	3	2.227029
abszurditasat	1	1	2.704151
abszurdumbol	1	1	2.704151
abu	1	1	2.704151
abudapesti	4	4	2.102091
abukassal	1	1	2.704151
abumnerang	1	1	2.704151
abundance	6	5	2.005181
abundant	5	4	2.102091
abunozesnek	1	1	2.704151
abuntetes	1	1	2.704151
abunuldozo	1	1	2.704151
abuse	193	31	1.212789
abused	11	4	2.102091
abuser	12	3	2.227029
abusers	5	3	2.227029
abuses	9	9	1.749908
abusing	2	2	2.403121
abusive	5	5	2.005181
abuzz	1	1	2.704151
abwam	1	1	2.704151
abzsh	1	1	2.704151
abzug	4	4	2.102091
ac	1160	9	1.749908
aca	7	5	2.005181
acaabaaaajwaaafjfoibh	1	1	2.704151
acaaracqaagbtaqeggamadgaaamwhcgadaagakwapaaiapgebcyab	1	1	2.704151
acacianet	1	1	2.704151
acad	5	2	2.403121
acadadv	1	1	2.704151
acadaff	1	1	2.704151
academia	7	4	2.102091
academic	48	28	1.256992
academically	1	1	2.704151
academics	2	2	2.403121
academy	15	11	1.662758
acadia	5	5	2.005181
acadian	2	1	2.704151
acadians	1	1	2.704151
acadiau	5	5	2.005181
acambuco	6	6	1.925999
acampbel	1	1	2.704151
acasa	2	1	2.704151
acast	4	4	2.102091
acatadas	1	1	2.704151
acatlan	2	2	2.403121
acay	2	2	2.403121
acb	2	2	2.403121
acbyhbgbs	1	1	2.704151
acc	31	5	2.005181
acccss	3	3	2.227029
accelarating	1	1	2.704151
accelerated	3	3	2.227029
accelerating	1	1	2.704151
acceleration	7	5	2.005181
accelerations	2	2	2.403121
accent	6	6	1.925999
accents	1	1	2.704151
accentsoft	2	2	2.403121
accentuated	3	1	2.704151
accentuating	1	1	2.704151
accept	33	28	1.256992
acceptability	2	2	2.403121
acceptable	17	16	1.500031
acceptance	15	14	1.558022
accepte	1	1	2.704151
accepted	16	16	1.500031
accepting	6	6	1.925999
acception	1	1	2.704151
accepts	5	5	2.005181
acceso	1	1	2.704151
access	315	55	0.963788
accesscom	7	6	1.925999
accesscomm	3	3	2.227029
accessed	7	6	1.925999
accesses	3	1	2.704151
accessibility	3	3	2.227029
accessible	7	7	1.859052
accessing	17	4	2.102091
accesslogarchive	1	1	2.704151
accesslogexcludemethod	1	1	2.704151
accesslogexcludemimetype	1	1	2.704151
accesslogexcludereturncode	1	1	2.704151
accesslogexcludeurl	1	1	2.704151
accesslogexpire	1	1	2.704151
accesslogsizelimit	1	1	2.704151
accessnv	5	5	2.005181
accessone	5	5	2.005181
accessories	12	7	1.859052
accessprovider	1	1	2.704151
accessreportdescription	1	1	2.704151
accessreportexcludehostname	1	1	2.704151
accessreportexcludemethod	1	1	2.704151
accessreportexcludereturncode	1	1	2.704151
accessreportexcludeurl	1	1	2.704151
accessreportincludehostname	1	1	2.704151
accessreportincludeurl	1	1	2.704151
accessreportroot	1	1	2.704151
accessreporttemplate	1	1	2.704151
accessreporttoplist	1	1	2.704151
accessus	5	5	2.005181
accesswatch	2	1	2.704151
acci	9	5	2.005181
accident	39	15	1.528059
accidental	10	6	1.925999
accidentally	3	3	2.227029
accidente	1	1	2.704151
accidentes	1	1	2.704151
accidents	27	7	1.859052
accion	2	2	2.403121
accionaria	2	2	2.403121
accionarias	1	1	2.704151
accionario	3	2	2.403121
acciones	57	8	1.801061
accionista	1	1	2.704151
accionistas	9	3	2.227029
acclaim	2	2	2.403121
acclaimed	2	2	2.403121
accom	1	1	2.704151
accommodate	6	4	2.102091
accommodated	1	1	2.704151
accommodating	1	1	2.704151
accommodation	7	5	2.005181
accommodations	4	4	2.102091
accompanied	14	12	1.624969
accompany	5	5	2.005181
accompanying	6	4	2.102091
accomplice	2	1	2.704151
accomplish	9	6	1.925999
accomplished	10	7	1.859052
accomplishes	1	1	2.704151
accomplishment	4	4	2.102091
accomplishments	6	6	1.925999
accomplit	1	1	2.704151
accord	11	8	1.801061
accordance	13	11	1.662758
accorded	5	5	2.005181
according	139	69	0.865301
accordingly	6	3	2.227029
accords	4	4	2.102091
account	99	59	0.933299
accountability	5	4	2.102091
accountant	6	5	2.005181
accountants	3	2	2.403121
accounted	4	4	2.102091
accounting	34	21	1.381931
accountings	1	1	2.704151
accounts	21	19	1.425397
accreditation	7	3	2.227029
accredited	2	2	2.403121
accrete	1	1	2.704151
accrual	1	1	2.704151
accrue	3	3	2.227029
accrued	3	1	2.704151
accruement	2	2	2.403121
accruvest	1	1	2.704151
accs	2	2	2.403121
accsoft	2	2	2.403121
accsyst	5	5	2.005181
acct	2	2	2.403121
accucomm	3	3	2.227029
accugraph	1	1	2.704151
acculturation	2	2	2.403121
accumulate	1	1	2.704151
accumulated	6	6	1.925999
accumulating	2	2	2.403121
accumulation	1	1	2.704151
accumulator	1	1	2.704151
accuracies	7	3	2.227029
accuracy	24	13	1.590207
accurate	32	13	1.590207
accurately	8	6	1.925999
accusation	1	1	2.704151
accusations	7	5	2.005181
accuse	4	4	2.102091
accused	62	29	1.241753
accuser	1	1	2.704151
accusers	1	1	2.704151
accuses	3	2	2.403121
accusing	3	3	2.227029
accustomed	1	1	2.704151
accutek	4	4	2.102091
acd	10	5	2.005181
acdi	2	2	2.403121
acdin	3	3	2.227029
acdnj	2	2	2.403121
ace	9	5	2.005181
acea	3	3	2.227029
aceaaaaynue	1	1	2.704151
aceinfo	1	1	2.704151
aceite	9	4	2.102091
aceites	5	3	2.227029
acel	1	1	2.704151
aceler	2	1	2.704151
acelerada	2	2	2.403121
acelerando	1	1	2.704151
acelerar	1	1	2.704151
acelipar	1	1	2.704151
aceliparreorganizacios	1	1	2.704151
aceljuk	1	1	2.704151
acelkohaszat	1	1	2.704151
acelmuvek	1	1	2.704151
acelszerkezeti	1	1	2.704151
acenet	3	3	2.227029
aceptado	2	1	2.704151
aceptados	2	2	2.403121
acer	2	2	2.403121
acerbi	3	2	2.403121
acetrans	1	1	2.704151
acex	2	2	2.403121
acf	6	4	2.102091
acgeas	1	1	2.704151
ach	1	1	2.704151
achancellorship	1	1	2.704151
achebe	1	1	2.704151
achem	1	1	2.704151
aches	1	1	2.704151
achievable	5	2	2.403121
achieve	36	31	1.212789
achieved	14	12	1.624969
achievement	40	14	1.558022
achievements	7	6	1.925999
achieving	11	9	1.749908
achilles	9	8	1.801061
achkhoi	1	1	2.704151
achkoi	1	1	2.704151
achoy	1	1	2.704151
acid	6	4	2.102091
acids	3	2	2.403121
acim	2	2	2.403121
acinkossagot	1	1	2.704151
ackerman	6	6	1.925999
acknowledge	3	3	2.227029
acknowledged	4	4	2.102091
acknowledges	1	1	2.704151
acknowledging	3	2	2.403121
acknowledgment	1	1	2.704151
acknowledgments	2	1	2.704151
acl	1	1	2.704151
acld	1	1	2.704151
aclib	2	2	2.403121
aclu	11	4	2.102091
acm	5	5	2.005181
acma	1	1	2.704151
acmepet	1	1	2.704151
acn	5	4	2.102091
acnet	4	3	2.227029
acns	16	5	2.005181
acog	2	2	2.403121
acom	6	6	1.925999
acommunity	1	1	2.704151
acomp	3	3	2.227029
acompa	2	2	2.403121
acon	1	1	2.704151
aconcentration	1	1	2.704151
acoplamientos	1	1	2.704151
acord	2	2	2.403121
acordado	5	2	2.403121
acorns	2	1	2.704151
acoustic	1	1	2.704151
acoustics	1	1	2.704151
acpub	3	3	2.227029
acpy	1	1	2.704151
acq	5	5	2.005181
acqic	2	2	2.403121
acqiisition	1	1	2.704151
acqui	1	1	2.704151
acquion	3	3	2.227029
acquire	6	5	2.005181
acquired	33	21	1.381931
acquiring	5	5	2.005181
acquisition	16	13	1.590207
acquisitions	4	4	2.102091
acquisitive	1	1	2.704151
acquistion	1	1	2.704151
acquittals	1	1	2.704151
acquitted	1	1	2.704151
acre	1	1	2.704151
acrecentar	1	1	2.704151
acreedores	6	2	2.403121
acres	2	2	2.403121
acrh	1	1	2.704151
acrisis	1	1	2.704151
acrobat	1	1	2.704151
acronet	2	2	2.403121
acronym	1	1	2.704151
across	35	24	1.323939
acrs	13	5	2.005181
acs	76	6	1.925999
acsaladi	1	1	2.704151
acsaladok	1	1	2.704151
acsaladtamogatasok	1	1	2.704151
acsatlakozasi	1	1	2.704151
acsd	3	3	2.227029
acsehek	1	1	2.704151
acsehszlovak	1	1	2.704151
acselekedetet	2	1	2.704151
acserepkalyhaba	1	1	2.704151
acsingozunk	1	1	2.704151
acskapcsot	1	1	2.704151
acslab	4	4	2.102091
acslabs	1	1	2.704151
acsnet	3	3	2.227029
acsorognak	1	1	2.704151
acsp	1	1	2.704151
acsu	6	6	1.925999
acsucsnyomozoszerv	1	1	2.704151
acsurar	1	1	2.704151
acsworld	1	1	2.704151
act	291	72	0.846818
actc	3	3	2.227029
actcom	14	5	2.005181
acted	9	4	2.102091
actein	4	4	2.102091
acti	1	1	2.704151
acting	24	16	1.500031
action	156	55	0.963788
actions	99	46	1.041393
actiontech	1	1	2.704151
activamente	1	1	2.704151
activate	1	1	2.704151
activated	9	4	2.102091
activation	20	3	2.227029
active	47	22	1.361728
actively	6	5	2.005181
activex	1	1	2.704151
actividad	8	7	1.859052
actividades	24	8	1.801061
activision	3	3	2.227029
activism	2	2	2.403121
activist	2	1	2.704151
activists	18	11	1.662758
activities	121	72	0.846818
activitiesincompatible	1	1	2.704151
activity	100	63	0.904810
activo	24	6	1.925999
activos	36	7	1.859052
actlab	1	1	2.704151
acton	2	2	2.403121
actor	11	4	2.102091
actors	6	4	2.102091
actress	4	4	2.102091
actrix	4	4	2.102091
actrn	2	2	2.403121
acts	48	23	1.342423
actuador	1	1	2.704151
actual	55	39	1.113086
actualities	1	1	2.704151
actuality	2	2	2.403121
actualizaci	1	1	2.704151
actualization	2	2	2.403121
actualize	1	1	2.704151
actually	38	28	1.256992
actualmente	5	3	2.227029
actuator	4	1	2.704151
acu	150	41	1.091367
acuerde	1	1	2.704151
acuerdo	28	7	1.859052
acuerdos	8	4	2.102091
acuity	1	1	2.704151
acumulaciones	1	1	2.704151
acumulada	3	2	2.403121
acumulado	5	4	2.102091
acumulados	3	3	2.227029
acupressure	1	1	2.704151
acupuncture	9	9	1.749908
acupuncturist	1	1	2.704151
acupuncturists	1	1	2.704151
acupunture	1	1	2.704151
acura	1	1	2.704151
acusd	1	1	2.704151
acuson	3	3	2.227029
acute	17	14	1.558022
acw	4	4	2.102091
acxiom	3	3	2.227029
aczel	3	3	2.227029
aczelgyorgyi	1	1	2.704151
aczeli	2	1	2.704151
ad	98	46	1.041393
ada	14	4	2.102091
adaclabs	1	1	2.704151
adag	1	1	2.704151
adagoltjutalommal	1	1	2.704151
adakozzanak	1	1	2.704151
adalbert	1	1	2.704151
adalbertrol	1	1	2.704151
adalek	1	1	2.704151
adalekul	1	1	2.704151
adam	23	17	1.473702
adamantly	1	1	2.704151
adamnet	1	1	2.704151
adams	23	17	1.473702
adando	1	1	2.704151
adannak	1	1	2.704151
adapt	3	3	2.227029
adapta	1	1	2.704151
adaptacios	1	1	2.704151
adaptaility	1	1	2.704151
adaptalasaban	2	1	2.704151
adaptation	6	6	1.925999
adaptations	6	3	2.227029
adaptec	2	2	2.403121
adapted	3	3	2.227029
adaptive	2	2	2.403121
adapts	1	1	2.704151
adas	1	1	2.704151
adasa	2	2	2.403121
adasaival	1	1	2.704151
adasat	1	1	2.704151
adasban	1	1	2.704151
adasvetel	1	1	2.704151
adat	3	2	2.403121
adata	1	1	2.704151
adatai	9	6	1.925999
adataik	1	1	2.704151
adataink	2	2	2.403121
adataitfeldolgozo	1	1	2.704151
adatara	1	1	2.704151
adatat	1	1	2.704151
adatbazisban	1	1	2.704151
adatfelsorolasbol	1	1	2.704151
adatgyujtest	1	1	2.704151
adatik	1	1	2.704151
adatok	16	13	1.590207
adatokat	10	10	1.704151
adatokban	2	1	2.704151
adatokkal	3	3	2.227029
adatoknak	1	1	2.704151
adatoktol	1	1	2.704151
adatot	2	2	2.403121
adattar	5	1	2.704151
adattarba	1	1	2.704151
adattarban	1	1	2.704151
adatvedelmi	3	2	2.403121
adatvedelmibiztos	1	1	2.704151
adaz	1	1	2.704151
adazan	1	1	2.704151
adb	1	1	2.704151
adc	2	2	2.403121
adcg	1	1	2.704151
adclab	1	1	2.704151
adcom	3	3	2.227029
adcomp	1	1	2.704151
adcon	1	1	2.704151
add	39	22	1.361728
addabbo	14	14	1.558022
addams	2	1	2.704151
added	60	34	1.172672
addendum	1	1	2.704151
addeventlistener	1	1	2.704151
addict	1	1	2.704151
addicted	5	2	2.403121
addiction	12	3	2.227029
addictions	2	2	2.403121
addictive	3	2	2.403121
addicts	1	1	2.704151
addig	42	27	1.272787
addigfokoztak	1	1	2.704151
addigra	2	2	2.403121
adding	27	21	1.381931
addis	8	2	2.403121
additio	1	1	2.704151
addition	73	48	1.022909
additional	62	38	1.124367
additionally	5	5	2.005181
additionalreconstruction	1	1	2.704151
additions	2	2	2.403121
additive	3	1	2.704151
additives	10	4	2.102091
addr	85	6	1.925999
address	74	51	0.996580
addressed	18	15	1.528059
addresses	37	24	1.323939
addressing	16	14	1.558022
adds	13	8	1.801061
addyston	1	1	2.704151
ade	6	5	2.005181
adea	17	2	2.403121
adeadly	1	1	2.704151
adec	1	1	2.704151
adecuada	1	1	2.704151
adecuadas	1	1	2.704151
adecuarlas	1	1	2.704151
adefinialas	1	1	2.704151
adelaide	10	6	1.925999
adelantado	1	1	2.704151
adelegation	1	1	2.704151
adelphi	2	2	2.403121
adem	31	23	1.342423
ademco	1	1	2.704151
ademokracia	2	1	2.704151
ademokrata	1	1	2.704151
ademokrataban	1	1	2.704151
ademokratikus	5	4	2.102091
adentra	1	1	2.704151
adept	6	4	2.102091
adeptscience	1	1	2.704151
adequacies	1	1	2.704151
adequacy	4	4	2.102091
adequate	16	15	1.528059
adequately	9	7	1.859052
ader	1	1	2.704151
adeudado	1	1	2.704151
adevarul	1	1	2.704151
adevarulban	1	1	2.704151
adezorganizalt	1	1	2.704151
adfa	7	4	2.102091
adfg	1	1	2.704151
adgbn	1	1	2.704151
adh	1	1	2.704151
adhat	1	1	2.704151
adhatna	1	1	2.704151
adhatnak	1	1	2.704151
adhatnanak	1	1	2.704151
adhato	1	1	2.704151
adhatok	1	1	2.704151
adhatom	1	1	2.704151
adhatomagyar	1	1	2.704151
adhatoszocialpolitikai	1	1	2.704151
adhatunk	1	1	2.704151
adhere	3	3	2.227029
adhered	1	1	2.704151
adherence	1	1	2.704151
adherente	2	1	2.704151
adherentes	1	1	2.704151
adherents	2	2	2.403121
adheres	1	1	2.704151
adhering	2	2	2.403121
adherirse	1	1	2.704151
adhesions	1	1	2.704151
adhesiva	1	1	2.704151
adhesive	1	1	2.704151
adhesiveness	2	1	2.704151
adi	4	3	2.227029
adiakok	1	1	2.704151
adicional	4	3	2.227029
adicionales	7	5	2.005181
adicionalmente	16	6	1.925999
adicon	2	2	2.403121
adiktat	1	1	2.704151
adin	1	1	2.704151
adinet	4	4	2.102091
adipiscing	1	1	2.704151
aditional	1	1	2.704151
aditivos	1	1	2.704151
adj	2	2	2.403121
adja	18	14	1.558022
adjaaz	1	1	2.704151
adjacent	4	4	2.102091
adjak	14	10	1.704151
adjanak	6	3	2.227029
adjatok	2	2	2.403121
adjon	6	6	1.925999
adjudic	1	1	2.704151
adjudicaron	1	1	2.704151
adjudicataria	1	1	2.704151
adjudicated	1	1	2.704151
adjudication	7	3	2.227029
adjuk	3	3	2.227029
adjunct	1	1	2.704151
adjunk	3	3	2.227029
adjunktus	1	1	2.704151
adjunktusnak	1	1	2.704151
adjunta	2	2	2.403121
adjust	11	10	1.704151
adjusted	3	3	2.227029
adjusting	3	2	2.403121
adjustment	13	10	1.704151
adjustments	1	1	2.704151
adjusts	1	1	2.704151
adkaaaaacwbaogeaaaacafypaqaaaaqaaaaaaaadrlsbciahabgaaabjue	1	1	2.704151
adl	2	2	2.403121
adler	3	3	2.227029
adm	32	6	1.925999
admark	1	1	2.704151
admd	1	1	2.704151
admin	62	9	1.749908
administer	3	3	2.227029
administered	28	8	1.801061
administers	2	1	2.704151
administraci	8	6	1.925999
administration	217	76	0.823337
administrationofficials	1	1	2.704151
administrations	11	7	1.859052
administrative	61	23	1.342423
administrativos	1	1	2.704151
administrator	13	13	1.590207
administrators	11	7	1.859052
adminisztracio	4	4	2.102091
adminisztracios	1	1	2.704151
adminisztrat	1	1	2.704151
adminsitration	2	1	2.704151
adminstrati	1	1	2.704151
adminstrations	1	1	2.704151
admirable	1	1	2.704151
admirably	1	1	2.704151
admiral	1	1	2.704151
admiralty	1	1	2.704151
admiration	1	1	2.704151
admire	1	1	2.704151
admission	19	9	1.749908
admissions	8	6	1.925999
admit	7	4	2.102091
admits	2	1	2.704151
admitted	25	17	1.473702
admittedthat	1	1	2.704151
admitting	2	2	2.403121
admu	8	4	2.102091
adna	3	3	2.227029
adnak	13	10	1.704151
adnc	5	5	2.005181
adnetsol	4	4	2.102091
adni	27	18	1.448878
adnia	1	1	2.704151
ado	29	20	1.403121
adoado	1	1	2.704151
adobe	5	5	2.005181
adobeszedoinek	1	1	2.704151
adobevetelt	1	1	2.704151
adocsalas	3	3	2.227029
adocsalasok	1	1	2.704151
adocsalassal	1	1	2.704151
adodik	1	1	2.704151
adodnak	2	2	2.403121
adodoan	2	2	2.403121
adoelengedes	1	1	2.704151
adoellenori	1	1	2.704151
adoellenorre	1	1	2.704151
adoellenort	1	1	2.704151
adoeloleg	2	1	2.704151
adoeloleget	1	1	2.704151
adofegyelmet	1	1	2.704151
adofizetes	1	1	2.704151
adofizeteset	1	1	2.704151
adofizeto	1	1	2.704151
adofizetok	5	5	2.005181
adogkeselyu	1	1	2.704151
adohatosagnak	1	1	2.704151
adohatosagot	1	1	2.704151
adoigazolast	1	1	2.704151
adoja	1	1	2.704151
adojabol	3	2	2.403121
adojanak	1	1	2.704151
adojat	1	1	2.704151
adok	6	4	2.102091
adokat	4	3	2.227029
adokedvezmenyekkel	1	1	2.704151
adokeletkezett	1	1	2.704151
adokoteles	2	2	2.403121
adokulcs	2	2	2.403121
adokulcsokatemelni	1	1	2.704151
adokumentumok	1	1	2.704151
adolescen	1	1	2.704151
adolescence	2	2	2.403121
adolescent	11	6	1.925999
adolescents	5	4	2.102091
adolesence	1	1	2.704151
adolf	6	5	2.005181
adolgozok	1	1	2.704151
adolph	7	4	2.102091
adom	1	1	2.704151
adomanya	1	1	2.704151
adomanyaikat	1	1	2.704151
adomanyokat	1	1	2.704151
adomanyozokat	1	1	2.704151
adomanyoztak	1	1	2.704151
adomentes	1	1	2.704151
adomentesseg	1	1	2.704151
adomerseklessel	1	1	2.704151
adon	2	2	2.403121
adonkbolfizetik	1	1	2.704151
adontessel	1	1	2.704151
adony	1	1	2.704151
adopapirokkal	1	1	2.704151
adoparadicsomokban	1	1	2.704151
adoparadicsomovezetebe	1	1	2.704151
adopolitikaval	1	1	2.704151
adopres	3	3	2.227029
adoprest	1	1	2.704151
adopt	8	8	1.801061
adopted	19	14	1.558022
adoptee	1	1	2.704151
adoptees	2	1	2.704151
adopting	3	3	2.227029
adoption	20	12	1.624969
adopts	1	1	2.704151
adoreform	2	1	2.704151
adorendszer	2	2	2.403121
adorendszerrol	1	1	2.704151
ados	4	3	2.227029
adosagguzlettel	1	1	2.704151
adoskonszolidaciot	3	3	2.227029
adosok	1	1	2.704151
adossag	18	12	1.624969
adossaga	8	5	2.005181
adossagainkelengedeset	1	1	2.704151
adossagall	1	1	2.704151
adossagallomany	4	3	2.227029
adossagallomanya	2	2	2.403121
adossagallomanyat	1	1	2.704151
adossagallomanyosszesen	1	1	2.704151
adossagallomanyt	2	2	2.403121
adossagalomany	1	1	2.704151
adossaganak	3	3	2.227029
adossagara	1	1	2.704151
adossagat	6	6	1.925999
adossagbehajto	1	1	2.704151
adossagbol	2	2	2.403121
adossagcsapda	2	2	2.403121
adossagcsapdaba	1	1	2.704151
adossagcsapdanak	1	1	2.704151
adossagcsokkentesenek	1	1	2.704151
adossagcsokkentest	2	2	2.403121
adossagelengedes	2	2	2.403121
adossagelengedest	1	1	2.704151
adossaggal	3	3	2.227029
adossaghelyzete	1	1	2.704151
adossagleirasi	1	1	2.704151
adossagmennyiseget	1	1	2.704151
adossagmoratorium	1	1	2.704151
adossagnovekedesenek	1	1	2.704151
adossagnovelo	1	1	2.704151
adossagok	2	1	2.704151
adossagot	6	5	2.005181
adossagpalyazatainak	1	1	2.704151
adossagszolgalat	5	3	2.227029
adossagszolgalati	1	1	2.704151
adossagszolgalaton	1	1	2.704151
adossagszolgalattorlesztesere	1	1	2.704151
adossagterheit	1	1	2.704151
adossagterhek	1	1	2.704151
adossagtorelesztes	1	1	2.704151
adossagtorlesztes	1	1	2.704151
adossagtorlesztest	1	1	2.704151
adossagunk	2	2	2.403121
adossagunkat	1	1	2.704151
adosuk	1	1	2.704151
adot	9	8	1.801061
adotablaja	1	1	2.704151
adotanacsado	2	1	2.704151
adoterhe	1	1	2.704151
adoterhek	2	2	2.403121
adoterheket	1	1	2.704151
adotorveny	1	1	2.704151
adott	70	33	1.185637
adottak	1	1	2.704151
adotthirek	1	1	2.704151
adottneki	1	1	2.704151
adottsagok	1	1	2.704151
adottsagokat	1	1	2.704151
adottszavukat	1	1	2.704151
adougyben	1	1	2.704151
adougyeinek	1	1	2.704151
adougyekkel	1	1	2.704151
adoval	1	1	2.704151
adozas	2	2	2.403121
adozasi	1	1	2.704151
adozasra	1	1	2.704151
adozatlanul	1	1	2.704151
adozok	4	2	2.403121
adozott	3	1	2.704151
adozzanak	1	1	2.704151
adp	11	5	2.005181
adpc	3	3	2.227029
adquiri	11	4	2.102091
adquirida	1	1	2.704151
adquiridas	3	2	2.403121
adquirido	2	2	2.403121
adquiridos	1	1	2.704151
adquirir	1	1	2.704151
adquisici	16	7	1.859052
adquisiciones	1	1	2.704151
