Token	Repeticiones	#Documentos
year	159	76
because	291	103
error	16	10
bureau	15	13
database	7	7
used	275	119
mib	1	1
reported	194	53
abnormal	2	2
though	39	27
taken	68	46
blood	33	14
go	81	52
commissioner	5	4
received	54	44
despite	36	27
horror	3	3
about	479	169
many	289	114
americans	27	18
share	62	30
doctor	40	12
kept	16	15
intended	42	21
foster	10	9
encourage	19	17
submitted	13	10
ethical	36	22
sometimes	48	31
putting	9	8
termed	7	6
nurses	27	8
party	191	57
payors	1	1
governed	10	10
current	257	98
engage	24	14
tactics	21	16
avoid	38	24
threats	13	12
ask	31	23
doctors	26	13
false	18	9
diagnosis	18	14
fear	38	22
employer	104	15
see	112	56
withhold	7	5
losing	18	16
control	219	94
psychiatric	18	9
fearing	3	3
danger	11	10
wrong	11	9
ruin	3	3
job	99	32
harm	23	8
prevent	48	33
numerous	41	35
simple	34	27
costly	8	7
step	53	35
paying	33	13
services	200	67
creation	63	49
paid	37	24
insurers	4	3
candid	1	1
enough	31	23
concede	2	2
business	374	85
reluctant	3	3
requested	11	11
comply	11	7
fiduciary	4	2
themselves	38	33
realize	5	5
direct	59	40
actually	36	28
controls	22	16
intolerable	4	2
system	372	115
payment	33	11
portion	17	12
amounts	15	15
unfettered	2	2
advances	10	10
exacerbate	1	1
local	227	81
providers	29	8
forming	12	12
coalitions	6	4
develop	53	41
automated	7	7
linked	18	16
systems	136	56
containing	19	15
lifetime	5	4
histories	6	6
projects	31	24
cost	93	49
reduction	24	20
improved	21	15
attempting	18	15
crafting	1	1
internal	66	40
automation	8	5
seen	149	62
component	20	15
legislatures	4	4
agencies	73	40
design	95	56
effective	73	48
oversight	3	3
mechanisms	11	10
monitor	20	11
newly	19	16
created	98	67
attempts	67	44
being	283	134
made	193	93
across	34	23
settings	5	5
leave	44	17
outcome	20	14
approach	92	44
lead	41	30
conflict	85	44
ultimately	20	18
set	135	89
overall	41	32
goal	24	23
relegating	1	1
different	217	103
policies	118	48
leaves	17	14
subject	78	51
differing	11	10
degrees	34	23
depending	27	23
receive	111	47
means	119	69
traveling	8	8
county	89	33
lines	35	26
lose	8	8
ability	85	50
how	558	155
governments	45	22
prevented	10	9
sharing	17	12
contained	15	13
neighboring	8	8
insufficiently	1	1
deserve	1	1
vulnerability	2	2
grows	4	4
exponentially	1	1
makes	55	35
possible	109	74
instant	2	2
interchange	1	1
pointed	15	14
medium	16	11
cumbersome	2	2
negative	38	27
impact	139	60
minimized	2	2
risk	47	28
although	95	51
gave	23	19
claim	52	32
magnitude	5	4
sheer	5	4
difficulty	12	11
unobtrusively	1	1
reviewing	8	6
large	109	70
numbers	37	30
itself	45	37
designed	108	69
promote	42	25
closely	27	21
guard	5	5
filing	19	10
recognize	17	14
enhance	13	9
simply	42	29
focus	51	35
poses	4	4
undermine	8	7
widespread	8	7
agreement	85	45
experts	20	15
protections	4	3
build	21	16
too	38	29
risky	2	2
major	228	107
regain	4	4
place	136	90
cornerstones	1	1
achieve	34	29
following	147	92
incorporated	8	7
amend	3	3
established	49	37
requiring	22	16
consent	38	13
prior	53	39
developed	84	51
given	95	59
bound	13	13
warrant	8	6
civil	195	68
criminal	176	34
sanctions	5	5
violations	17	14
action	120	45
against	322	113
mishandle	1	1
transmission	29	14
framework	17	13
piecemeal	1	1
incomplete	4	4
produce	31	25
worst	8	6
worlds	10	9
confusion	6	6
red	45	29
tape	12	6
legitimate	16	12
debilitating	1	1
mistrust	1	1
critical	240	118
ensuring	4	4
cannot	95	41
move	57	33
forward	19	18
assuring	2	2
highly	46	35
surveys	5	4
suspicious	4	4
scale	24	16
computerization	1	1
dire	2	2
expected	58	32
embrace	2	2
participate	27	21
rapidly	7	7
price	42	26
participation	33	23
loss	52	35
fails	24	14
win	30	21
fail	14	11
having	88	67
withdraw	7	7
honest	6	6
fall	58	45
cracks	3	2
urge	9	9
adequately	7	6
senate	58	28
labor	138	41
finance	44	25
bills	16	14
hearing	30	17
senator	32	13
bennett	3	3
patrick	13	11
leahy	8	4
1360	1	1
coming	25	18
80	98	19
cornell	1	1
review	330	97
451	5	4
matthew	6	5
alliance	39	29
says	38	19
us	257	88
violated	4	4
april	89	54
tamar	3	1
lawsuit	20	8
seeks	14	14
bar	128	51
roil	2	1
arena	4	2
open	87	50
march	87	37
a5	1	1
heath	2	2
physician	20	9
city	113	64
school	213	52
logged	2	2
onto	19	14
nurse	40	10
publicized	4	4
colorado	3	3
student	74	33
sold	20	13
attorneys	34	24
practicing	7	7
malpractice	34	5
old	84	46
daughter	8	6
clerk	8	5
went	22	19
work	378	128
left	72	42
accessed	6	5
called	130	68
seven	44	33
told	103	37
tested	11	8
positive	50	24
filed	25	17
december	75	38
home	235	137
contact	100	67
user	89	23
posted	18	7
july	123	40
1996	482	102
would	463	133
like	130	73
accurate	27	11
users	55	18
simulated	13	10
cycle	28	18
ws3	2	2
machine	28	17
production	96	44
equiptment	1	1
optional	18	12
link	64	37
image	99	44
follow	29	23
creator	6	6
version	39	25
copyright	149	66
forman	5	5
product	91	30
licensed	18	11
keith	5	5
wanner	4	4
robot	294	22
serial	12	8
industrial	163	52
store	39	18
reveals	18	13
secrets	7	7
sc	5	1
series	57	37
aaa	15	6
robots	47	9
src	38	7
border	43	19
general	279	116
speed	17	13
weight	18	9
class	73	40
rigid	2	2
featuring	8	8
air	109	34
application	101	63
nachi	3	2
again	22	18
demonstrates	11	10
exceptional	11	8
value	95	56
robotics	13	10
include	127	70
sc35	1	1
sc50	1	1
high	229	75
accuracy	21	12
low	76	45
maintenance	44	26
competitively	1	1
priced	4	3
flexible	11	11
installation	21	13
options	34	17
largest	42	32
payload	5	3
space	131	38
saving	7	7
controller	13	6
ergonomic	3	2
easy	30	23
operation	43	34
teach	28	11
pendant	3	2
simultaneous	14	9
6	1429	39
axis	7	6
hot	13	10
edit	15	2
points	69	32
memory	11	9
capacity	26	19
menu	10	5
driven	8	7
teaching	117	26
slim	1	1
language	90	38
remote	32	13
display	20	10
capability	26	15
return	86	49
movement	163	70
arc	11	7
welding	10	5
material	95	57
handling	17	13
sealing	1	1
cutting	23	14
palletizing	1	1
assembly	11	9
sa	14	7
href	351	38
email	13	12
m	651	48
f	8	6
8	1230	49
click	221	117
mail	38	18
icon	3	3
modified	19	15
january	51	33
sciences	20	8
homepage	1	1
95	55	8
statistics	29	17
aug	33	1
1	4538	65
31	420	27
requests	33	13
date	42	29
12	1106	51
48	178	15
2	2810	58
52	156	14
3	1820	59
40	248	43
4	1805	47
35	275	27
5	1591	49
100	138	55
64	118	14
7	1297	40
85	82	10
9	1246	28
55	140	11
10	1406	66
30	429	60
11	1190	36
49	167	13
13	1170	31
70	106	23
14	906	29
65	127	14
15	926	62
44	179	16
16	778	41
33	319	18
17	679	33
18	652	38
19	614	23
105	59	7
20	639	71
92	82	9
21	560	27
75	102	19
22	530	30
67	88	8
23	489	23
41	222	9
24	478	29
25	450	37
128	44	9
26	476	30
87	68	6
27	405	25
60	148	34
29	395	24
84	70	10
39	256	9
transfers	31	13
reversed	21	10
subdomain	6	6
53	131	11
archive	4	3
bytes	35	7
sent	45	28
section	49	20
5084	1	1
46566	1	1
35864	1	1
228950	2	2
31890	1	1
80232	1	1
98884	1	1
110292	1	1
34642	1	1
21476	1	1
28269	1	1
305693	1	1
49446	1	1
255782	1	1
59	124	10
52577	1	1
1153185	1	1
140	39	11
10190	1	1
139590	1	1
97	63	7
24782	1	1
73610	1	1
56079	1	1
2564029	1	1
628	3	3
61975	1	1
15445	1	1
17680	2	2
223250	1	1
47	199	8
423334	1	1
24628	1	1
112805	1	1
89	68	8
154992	1	1
94860	1	1
107748	1	1
13815	1	1
416372	2	2
115	56	9
50232	1	1
13937	1	1
24260	1	1
2960	1	1
3576	2	2
43600	1	1
29320	1	1
5797	1	1
22176	1	1
41153	1	1
creek	11	5
philip	5	4
neri	2	1
fraternity	3	3
janice	1	1
gray	8	7
minister	172	43
street	57	30
mi	217	40
49017	1	1
1st	10	7
sunday	1	1
prayer	5	4
capital	109	46
ave	1	1
table	59	25
contents	25	23
previous	51	35
next	201	155
imaging	46	19
radar	110	21
page	59	46
cryosphere	1	1
hydrosphere	1	1
interacts	1	1
significantly	11	7
global	89	36
climate	68	26
land	58	29
surface	104	14
covered	68	21
seasonally	1	1
permanently	12	7
snow	64	4
ice	29	10
play	84	29
roles	52	32
regional	77	32
higher	80	42
albedo	2	2
natural	120	49
earliest	8	8
signs	11	10
change	110	65
likely	66	41
polar	4	4
regions	48	24
seasonal	16	9
cover	65	31
alpine	10	2
investigations	17	16
hydrology	7	3
glaciers	6	3
radiation	9	8
water	135	38
portions	5	5
middle	81	35
elevations	4	3
tropical	18	5
contributors	6	5
runoff	9	4
rivers	4	3
dual	8	7
estimating	7	3
quantity	5	4
packs	1	1
timing	6	4
snowmelt	1	1
confront	8	8
understanding	44	30
processes	23	16
chemical	27	18
drainage	4	3
translocation	1	1
anions	1	1
cations	1	1
pack	5	5
concentrated	4	4
release	31	25
first	394	148
phases	6	4
melt	2	1
soil	114	4
moisture	83	2
environmental	79	39
descriptor	2	1
integrates	2	2
much	118	72
interface	19	6
interaction	21	15
solid	20	8
earth	23	18
seems	20	14
existence	28	15
biogeochemical	2	1
wide	58	40
spread	15	14
variable	13	5
process	136	66
two	552	177
reasons	50	37
point	102	60
consistent	23	11
spatially	2	1
exhibits	6	4
spatial	30	5
temporal	20	3
thus	37	25
measurements	33	8
little	59	39
practical	39	31
measurable	5	5
passive	19	8
microwave	30	6
active	38	15
techniques	91	41
provided	58	39
theoretical	21	14
experimental	22	11
top	62	40
five	104	67
cm	9	4
measured	25	10
aircraft	15	10
platforms	2	2
under	359	118
variety	77	51
conditions	73	44
moderate	6	6
vegetation	24	6
define	21	19
issues	217	107
sensing	27	7
describe	25	18
capabilities	14	10
limitations	14	11
sar	34	6
progress	40	23
document	43	30
still	115	67
operational	20	13
scientific	32	26
objectives	32	26
related	138	70
identified	27	15
hydrologic	12	1
relevant	28	21
dynamics	26	21
sea	86	29
lake	36	20
sheets	2	1
understand	47	32
reservoirs	1	1
scales	19	8
fluxes	3	1
ground	30	20
phenomena	16	14
hampers	2	1
conventional	19	17
situ	4	2
sampling	7	2
methods	142	69
utility	24	9
capturing	2	2
variability	15	4
climatology	7	4
require	58	31
timely	6	6
measurement	12	8
redistribution	3	2
solar	19	12
energy	153	52
globe	3	3
serves	28	20
fundamental	32	22
role	425	103
transport	14	9
atmospheric	37	9
residence	16	15
order	370	170
couple	17	12
days	82	44
emphasize	3	3
nature	157	60
importance	61	36
emerged	11	10
area	131	70
since	179	91
mid	3	2
1960s	1	1
when	382	135
researchers	6	4
geophysical	4	3
fluid	9	5
laboratory	15	13
placed	32	27
circulation	17	5
model	136	42
manabe	1	1
et	57	18
sophistication	2	2
gcms	2	1
weakness	3	3
according	127	66
adequate	16	15
parameterization	3	3
variables	26	20
terrestrial	4	4
phase	22	13
primarily	36	32
totally	11	11
inadequate	7	6
concerning	103	58
degree	44	30
components	17	15
goes	40	27
further	109	59
say	38	27
introduces	9	6
severe	23	16
shortcoming	2	2
testing	38	16
gcm	9	3
perhaps	16	12
performs	8	7
partitioning	2	1
incoming	5	3
radiative	5	3
sensible	7	6
latent	4	3
heat	22	13
factor	32	21
involved	95	58
determining	31	23
relative	42	34
proportions	5	5
availability	15	9
generally	70	37
form	117	74
modeling	31	7
demonstrated	16	7
sensitivity	9	4
anomalies	3	2
rowntree	1	1
shukla	1	1
delworth	1	1
second	140	77
forcing	6	5
temperature	37	7
function	80	45
summer	11	8
equally	12	11
smaller	13	10
recent	158	80
mesoscale	6	2
models	41	22
similarly	4	4
gradients	3	1
fast	17	12
mccorcle	1	1
shown	42	26
induce	8	7
thermally	1	1
induced	6	6
circulations	4	2
chang	16	5
wetzel	1	1
variations	11	8
baroclinic	1	1
structures	31	23
differential	5	4
turn	48	29
indicate	16	11
intensity	23	5
dynamic	10	9
thermodynamic	1	1
discontinuities	3	3
yet	32	27
lanicci	1	1
dry	10	6
northern	28	18
mexico	26	19
southern	65	33
plains	3	2
dynamically	2	2
interact	10	9
alter	5	5
prestorm	1	1
subsequent	39	28
convective	7	3
rainfall	2	1
unclear	9	9
whether	144	75
collected	23	14
indication	5	5
favor	24	21
betts	1	1
showing	27	24
initialization	1	1
ecmwf	4	3
weather	34	19
predictions	7	6
1993	41	32
extreme	14	12
wetness	3	1
comparison	288	77
climatological	9	3
average	48	24
clearly	38	25
normal	39	22
vary	11	10
rain	23	7
meaningful	6	6
assimilations	1	1
ranging	18	17
appears	18	15
hydrometeorological	1	1
validation	5	2
ubiquitous	2	2
frequent	11	8
fit	23	17
umbrella	3	3
four	116	71
highest	22	19
radiant	1	1
observable	2	2
total	98	43
profile	22	15
plants	11	8
transpiration	1	1
patterns	53	32
physical	138	59
properties	23	11
improve	49	31
adapt	3	3
areas	97	51
biomes	1	1
measuring	22	15
obvious	9	7
question	74	47
might	100	56
society	157	69
routine	16	10
improvements	8	7
range	63	41
forecasting	22	9
incorporating	9	9
grid	5	5
daily	72	44
agricultural	29	20
uses	66	44
improving	25	19
irrigation	6	4
scheduling	4	3
crop	7	7
yield	8	6
domestic	101	43
foreign	308	89
here	153	132
km	7	5
three	279	124
better	59	43
quantification	1	1
storages	1	1
assist	24	20
makers	8	8
allocation	5	5
coordination	3	3
relief	8	8
times	98	62
particularly	116	68
annual	50	22
inter	2	2
able	79	53
represent	32	24
validity	12	10
measure	35	23
satellite	24	11
increasingly	24	23
hydrologists	2	1
climatologists	1	1
provide	176	79
distributions	6	2
parameters	11	5
climatic	3	2
improves	4	2
several	148	88
visible	14	12
sensors	8	4
extensively	13	8
signal	20	12
electromagnetic	2	2
spectrum	14	8
grain	7	4
size	30	21
equivalence	7	1
shallow	4	3
cloud	8	4
obtaining	13	10
suitable	20	10
addition	46	37
extent	48	36
continental	11	6
requires	51	31
signals	8	6
resolution	54	28
spaceborne	21	12
coarser	1	1
variation	46	5
mountainous	7	6
long	133	79
promised	19	13
advantages	50	29
day	125	66
night	34	22
acquisition	13	11
processing	22	16
quantitative	8	7
interpretation	38	27
put	47	32
advanced	39	29
improvement	25	20
backscattering	3	1
polarization	8	3
algorithm	6	2
retrieve	4	3
indicates	28	11
what	337	136
rate	75	43
using	253	105
sir	18	8
c	19	10
jpl	4	3
airsar	12	2
melting	5	3
status	91	60
hydrological	3	2
maps	11	4
derived	13	10
now	173	80
compare	4	4
reasonably	17	12
well	195	106
clear	25	16
quantitatively	1	1
topographic	4	3
potentially	8	8
extended	22	16
experiments	10	5
mounted	3	3
spacecraft	3	3
thin	6	6
layer	8	6
accurately	7	6
bare	8	5
thinly	3	2
vegetated	4	1
basic	76	46
approaches	53	31
typically	20	15
utilize	11	10
contrast	50	26
dielectric	4	1
constant	11	9
wet	6	3
emissivity	1	1
backscatter	16	4
approaching	3	3
differences	87	51
swath	3	2
power	266	86
almost	38	33
strengths	13	12
matched	4	4
weaknesses	15	13
vice	22	17
simpler	2	2
disadvantages	14	9
poor	43	36
comes	28	23
expense	10	8
rates	50	22
complex	79	37
show	75	42
estimated	32	18
frequencies	9	5
correlate	1	1
best	100	65
moistures	1	1
ulaby	1	1
jackson	12	7
wang	3	3
dobson	1	1
lin	10	3
documented	8	7
algorithms	15	6
invert	1	1
infer	5	1
dubois	6	4
evaluated	9	6
broader	9	8
remotely	6	2
effect	163	78
target	10	8
characteristics	47	32
example	35	26
roughness	12	1
applying	17	14
studied	13	10
various	310	118
specifically	52	42
short	92	52
grass	8	6
canopy	3	1
parameter	5	4
equal	35	24
greater	53	35
problem	127	61
independently	9	7
inverted	1	1
scattering	16	5
small	128	56
perturbation	3	2
optics	6	2
geometrical	2	1
broad	41	30
suited	9	9
rough	2	2
surfaces	5	3
intermediate	8	8
smooth	5	5
good	131	68
predictive	1	1
observed	19	12
examples	33	27
fung	1	1
oh	4	3
adopted	18	13
behavior	106	39
limiting	12	11
cases	101	43
empirical	9	6
terms	109	64
root	7	6
mean	32	18
square	15	13
wave	14	8
multipolarized	1	1
content	84	50
ratios	4	3
explicitly	3	2
hh	2	2
vv	4	2
sections	14	11
estimate	11	9
airborne	8	6
accuracies	7	3
absolute	13	11
normalized	1	1
difference	28	23
index	23	19
initial	27	23
look	140	76
promising	8	7
applied	47	35
sparse	2	2
instruments	13	8
together	39	32
attenuate	1	1
emission	1	1
adds	12	7
flux	5	4
affects	36	28
determination	16	14
depends	19	13
upon	153	80
mass	81	33
structural	27	22
influences	52	35
complexity	11	9
effects	235	81
inference	2	2
unique	37	31
greatly	12	11
dependent	17	15
instrument	50	14
incidence	13	11
contains	30	25
along	70	48
plant	31	19
integrated	18	13
underlying	22	21
volume	15	9
especially	100	66
dealing	90	52
groups	87	58
presence	24	21
presented	35	28
saatchi	1	1
showed	22	15
grasses	1	1
konza	1	1
prairie	3	3
assuming	4	4
accounted	4	4
frequency	31	6
radiometer	3	1
tens	4	4
sensed	4	1
optimum	7	5
polarimetric	5	2
band	9	8
evidence	78	41
suggests	18	13
inferring	1	1
help	110	66
resolve	18	13
effectiveness	53	31
types	90	56
term	276	134
sets	22	12
isolate	2	2
slowly	7	7
combining	5	5
distributed	26	18
deciding	9	9
usefulness	6	6
inferred	1	1
account	89	55
areal	1	1
averages	1	1
compared	74	46
judging	3	3
performance	79	41
activities	83	54
programs	182	67
illinois	368	30
network	88	31
former	138	55
soviet	155	38
union	112	47
vinnikov	2	1
yeserkepova	2	1
neutron	1	1
domain	8	8
reflectivity	1	1
gravimetric	1	1
longer	51	36
basis	67	47
growing	68	46
biweekly	1	1
samples	4	2
season	11	9
monthly	37	15
sampled	1	1
definition	52	35
usually	73	29
consisting	6	6
every	97	53
throughout	54	44
zone	11	9
depths	1	1
defined	55	25
extensive	37	27
detect	4	4
horizontal	6	5
investigators	7	3
looked	9	7
rogowski	1	1
soils	2	1
coefficient	6	4
bars	4	4
hydraulic	9	3
conductivity	1	1
hawley	1	1
investigated	8	6
sample	8	6
2m	1	1
plot	24	10
cv	2	1
implying	3	3
single	63	45
200g	1	1
bell	14	6
57	137	9
fields	18	13
south	234	89
nominal	10	7
standard	86	49
deviation	5	3
analyzed	20	12
perfect	20	10
correlations	9	5
observations	19	14
unlikely	7	6
inherent	23	19
same	154	73
inversion	2	1
wider	7	7
done	44	35
concepts	57	30
kostov	1	1
priori	7	4
radiometric	1	1
mapping	14	6
straightforward	3	3
regression	5	2
reutov	1	1
shutko	1	1
combination	19	16
needs	71	48
considered	73	51
particular	93	56
compatible	8	5
caused	39	25
ancillary	4	1
requirements	56	32
satellites	8	7
offer	54	35
sars	4	1
canadian	33	20
launched	12	11
optimal	13	9
preliminary	9	7
demonstrate	17	17
ideal	33	16
near	81	34
main	77	55
drawback	2	2
accumulating	2	2
diverse	11	9
hoped	5	5
sufficient	15	13
developing	57	40
brought	34	28
grouped	3	3
classes	17	15
pilot	5	5
experiment	20	11
modelisation	1	1
du	3	3
bilan	1	1
france	49	26
niger	1	1
islscp	1	1
kansas	3	3
mahantango	2	1
catchment	4	1
1990	43	25
campaign	106	34
synthetic	19	14
aperture	16	12
carrying	12	11
pbmr	1	1
ns001	2	1
thematic	15	8
